aws_accessanalyzer_archive_rule, id = "example-analyzer/example-rule"
aws_account_alternate_contact, id = "1234567890/OPERATIONS"
aws_ami_launch_permission, id = "123456789012/ami-12345678"
aws_amplify_backend_environment, id = "d2ypk4k47z8u6/example"
aws_amplify_branch, id = "d2ypk4k47z8u6/master"
aws_amplify_domain_association, id = "d2ypk4k47z8u6/example.com"
aws_api_gateway_authorizer, id = "12345abcde/example"
aws_api_gateway_base_path_mapping, id = "example.com/" id = "example.com/base-path"
aws_api_gateway_deployment, id = "aabbccddee/1122334"
aws_api_gateway_documentation_part, id = "5i4e1ko720/3oyy3t"
aws_api_gateway_documentation_version, id = "5i4e1ko720/example-version"
aws_api_gateway_gateway_response, id = "12345abcde/UNAUTHORIZED"
aws_api_gateway_integration, id = "12345abcde/67890fghij/GET"
aws_api_gateway_integration_response, id = "12345abcde/67890fghij/GET/200"
aws_api_gateway_method, id = "12345abcde/67890fghij/GET"
aws_api_gateway_method_response, id = "12345abcde/67890fghij/GET/200"
aws_api_gateway_method_settings, id = "12345abcde/example/test/GET"
aws_api_gateway_model, id = "12345abcde/example"
aws_api_gateway_request_validator, id = "12345abcde/67890fghij"
aws_api_gateway_resource, id = "12345abcde/67890fghij"
aws_api_gateway_stage, id = "12345abcde/example"
aws_api_gateway_usage_plan_key, id = "12345abcde/zzz"
aws_apigatewayv2_api_mapping, id = "1122334/ws-api.example.com"
aws_apigatewayv2_authorizer, id = "aabbccddee/1122334"
aws_apigatewayv2_deployment, id = "aabbccddee/1122334"
aws_apigatewayv2_integration, id = "aabbccddee/1122334"
aws_apigatewayv2_integration_response, id = "aabbccddee/1122334/998877"
aws_apigatewayv2_model, id = "aabbccddee/1122334"
aws_apigatewayv2_route, id = "aabbccddee/1122334"
aws_apigatewayv2_route_response, id = "aabbccddee/1122334/998877"
aws_apigatewayv2_stage, id = "aabbccddee/example-stage"
aws_app_cookie_stickiness_policy, id = "my-elb:80:my-policy"
aws_appautoscaling_policy, id = "service-namespace/resource-id/scalable-dimension/policy-name"
